model,train_year_start,train_year_end,test_year,target_year,rmse,mae,r2
linear_regression,2019,2022,2023,2024,1246.225818250228,187.61706534888185,0.9992226896670735
random_forest,2019,2022,2023,2024,2472.7071680930267,197.10241299968388,0.9969398245425005
