origin_state,origin_state_name,dest_state,dest_state_name,year,tons,value,tons_lag1,value_lag1,tons_growth,value_growth,distance_miles,cpi_pc1,target_next_year_tons
1,Alabama,1,Alabama,2019,175032.394664,85079.528098,170417.043596,85124.821691,0.027082684751540423,-0.000532084439065535,0.0,1.8126316666666666,166884.176652
1,Alabama,1,Alabama,2020,166884.176652,80074.370879,175032.394664,85079.528098,-0.046552628315699396,-0.05882916056180687,0.0,1.2548791666666668,174263.557879
1,Alabama,1,Alabama,2021,174263.557879,81794.98563,166884.176652,80074.370879,0.04421857946657262,0.021487708640259114,0.0,4.6765175,170881.566486
1,Alabama,1,Alabama,2022,170881.566486,83763.763383,174263.557879,81794.98563,-0.019407335843265015,0.024069663168666326,0.0,7.998425833333333,164634.974221
1,Alabama,1,Alabama,2023,164634.974221,83445.518669,170881.566486,83763.763383,-0.03655509715561834,-0.0037993125087379814,0.0,4.1461049999999995,175170.50851400002
1,Alabama,2,Alaska,2019,0.020219,0.03071,0.0,0.0,0.0,0.0,3462.5456550800504,1.8126316666666666,0.057082
1,Alabama,2,Alaska,2020,0.057082,0.94182,0.020219,0.03071,1.8231861120728028,29.668186258547703,3462.5456550800504,1.2548791666666668,0.0
1,Alabama,2,Alaska,2021,0.0,0.0,0.057082,0.94182,-1.0,-1.0,3462.5456550800504,4.6765175,0.17084300000000002
1,Alabama,2,Alaska,2022,0.17084300000000002,0.156078,0.0,0.0,0.0,0.0,3462.5456550800504,7.998425833333333,0.005448
1,Alabama,2,Alaska,2023,0.005448,0.009535,0.17084300000000002,0.156078,-0.9681110727392986,-0.9389087507528288,3462.5456550800504,4.1461049999999995,0.0
1,Alabama,4,Arizona,2019,242.59613,1070.039341,244.168454,1087.790338,-0.006439505080373769,-0.01631839921711099,1451.8813535878703,1.8126316666666666,230.609151
1,Alabama,4,Arizona,2020,230.609151,985.79099,242.59613,1070.039341,-0.04941125400475264,-0.07873388180407094,1451.8813535878703,1.2548791666666668,212.954333
1,Alabama,4,Arizona,2021,212.954333,998.048273,230.609151,985.79099,-0.07655731753680498,0.012433957222514308,1451.8813535878703,4.6765175,223.586909
1,Alabama,4,Arizona,2022,223.586909,1018.247737,212.954333,998.048273,0.04992890189278281,0.020238964934314388,1451.8813535878703,7.998425833333333,230.815157
1,Alabama,4,Arizona,2023,230.815157,1031.3677480000001,223.586909,1018.247737,0.032328583244558416,0.012884890899590665,1451.8813535878703,4.1461049999999995,233.850968
1,Alabama,5,Arkansas,2019,725.2591630000001,1437.947722,757.130121,1528.283185,-0.04209442619705256,-0.05910911268712277,352.5074578439604,1.8126316666666666,728.5001
1,Alabama,5,Arkansas,2020,728.5001,1367.669622,725.2591630000001,1437.947722,0.0044686605359026904,-0.04887389084093574,352.5074578439604,1.2548791666666668,709.704648
1,Alabama,5,Arkansas,2021,709.704648,1382.016064,728.5001,1367.669622,-0.02580020510635476,0.010489698512876691,352.5074578439604,4.6765175,692.401385
1,Alabama,5,Arkansas,2022,692.401385,1382.054497,709.704648,1382.016064,-0.024380935152054993,2.78093728439963e-05,352.5074578439604,7.998425833333333,670.946399
