origin_state,origin_state_name,dest_state,dest_state_name,feature_year,prediction_year,selected_model,predicted_tons
29,Missouri,17,Illinois,2024,2025,linear_regression,12154.298102452762
19,Iowa,31,Nebraska,2024,2025,linear_regression,12027.995420918043
47,Tennessee,13,Georgia,2024,2025,linear_regression,12020.02325788885
39,Ohio,21,Kentucky,2024,2025,linear_regression,11892.190779207089
13,Georgia,47,Tennessee,2024,2025,linear_regression,11703.926715834848
25,Massachusetts,33,New Hampshire,2024,2025,linear_regression,11637.166785408004
27,Minnesota,38,North Dakota,2024,2025,linear_regression,11630.377850524696
13,Georgia,1,Alabama,2024,2025,linear_regression,11522.06576480081
48,Texas,6,California,2024,2025,linear_regression,11507.792746241874
24,Maryland,42,Pennsylvania,2024,2025,linear_regression,11505.365262179286
45,South Carolina,13,Georgia,2024,2025,linear_regression,11307.23992665057
6,California,4,Arizona,2024,2025,linear_regression,11231.10897810628
18,Indiana,21,Kentucky,2024,2025,linear_regression,11205.480384697064
31,Nebraska,19,Iowa,2024,2025,linear_regression,11176.974451359933
17,Illinois,26,Michigan,2024,2025,linear_regression,11087.248530521618
20,Kansas,29,Missouri,2024,2025,linear_regression,11064.098920959088
47,Tennessee,21,Kentucky,2024,2025,linear_regression,10768.489998925834
13,Georgia,45,South Carolina,2024,2025,linear_regression,10722.32868028143
48,Texas,36,New York,2024,2025,linear_regression,10298.725479001609
4,Arizona,6,California,2024,2025,linear_regression,10100.089175005873
48,Texas,13,Georgia,2024,2025,linear_regression,10088.502964075185
40,Oklahoma,20,Kansas,2024,2025,linear_regression,10029.531691685897
51,Virginia,24,Maryland,2024,2025,linear_regression,9964.20929547317
13,Georgia,37,North Carolina,2024,2025,linear_regression,9802.923938154054
6,California,48,Texas,2024,2025,linear_regression,9775.35715585604
19,Iowa,17,Illinois,2024,2025,linear_regression,9642.85906045332
21,Kentucky,47,Tennessee,2024,2025,linear_regression,9472.221649542473
47,Tennessee,28,Mississippi,2024,2025,linear_regression,9388.015460413728
9,Connecticut,36,New York,2024,2025,linear_regression,9009.851951625235
38,North Dakota,27,Minnesota,2024,2025,linear_regression,8814.2654291537
21,Kentucky,39,Ohio,2024,2025,linear_regression,8694.463603253698
29,Missouri,20,Kansas,2024,2025,linear_regression,8657.838120727476
21,Kentucky,18,Indiana,2024,2025,linear_regression,8644.316606589218
17,Illinois,19,Iowa,2024,2025,linear_regression,8497.236080442257
26,Michigan,17,Illinois,2024,2025,linear_regression,8166.227172358594
26,Michigan,55,Wisconsin,2024,2025,linear_regression,8159.3721983594405
5,Arkansas,48,Texas,2024,2025,linear_regression,8025.5747534441025
48,Texas,35,New Mexico,2024,2025,linear_regression,7943.468030294786
48,Texas,26,Michigan,2024,2025,linear_regression,7834.935920181061
28,Mississippi,1,Alabama,2024,2025,linear_regression,7732.359739978832
1,Alabama,28,Mississippi,2024,2025,linear_regression,7698.604798283942
20,Kansas,31,Nebraska,2024,2025,linear_regression,7693.247353358832
41,Oregon,6,California,2024,2025,linear_regression,7622.356593177161
17,Illinois,48,Texas,2024,2025,linear_regression,7557.136293619339
37,North Carolina,13,Georgia,2024,2025,linear_regression,7548.078048432948
1,Alabama,12,Florida,2024,2025,linear_regression,7506.173657257941
1,Alabama,47,Tennessee,2024,2025,linear_regression,7290.007911296918
9,Connecticut,25,Massachusetts,2024,2025,linear_regression,7285.002421183678
25,Massachusetts,36,New York,2024,2025,linear_regression,7245.624759549591
17,Illinois,39,Ohio,2024,2025,linear_regression,7092.016184958753
47,Tennessee,37,North Carolina,2024,2025,linear_regression,6900.693548792757
47,Tennessee,1,Alabama,2024,2025,linear_regression,6798.875411876478
46,South Dakota,31,Nebraska,2024,2025,linear_regression,6579.855398817156
51,Virginia,42,Pennsylvania,2024,2025,linear_regression,6551.915953596386
48,Texas,12,Florida,2024,2025,linear_regression,6518.28252143307
44,Rhode Island,25,Massachusetts,2024,2025,linear_regression,6460.521295420012
28,Mississippi,22,Louisiana,2024,2025,linear_regression,6435.593907777212
39,Ohio,17,Illinois,2024,2025,linear_regression,6356.5378077577625
6,California,39,Ohio,2024,2025,linear_regression,6351.0749669256365
6,California,53,Washington,2024,2025,linear_regression,6350.626459812775
22,Louisiana,28,Mississippi,2024,2025,linear_regression,6343.042165522942
20,Kansas,40,Oklahoma,2024,2025,linear_regression,6287.9703056751205
30,Montana,16,Idaho,2024,2025,linear_regression,6236.55241143217
48,Texas,17,Illinois,2024,2025,linear_regression,6205.134928039672
32,Nevada,6,California,2024,2025,linear_regression,6063.988143890209
46,South Dakota,38,North Dakota,2024,2025,linear_regression,6023.945516540813
53,Washington,6,California,2024,2025,linear_regression,6014.040736194972
48,Texas,29,Missouri,2024,2025,linear_regression,5975.190314734518
26,Michigan,48,Texas,2024,2025,linear_regression,5965.202373601543
35,New Mexico,48,Texas,2024,2025,linear_regression,5963.506518429416
55,Wisconsin,26,Michigan,2024,2025,linear_regression,5762.139677049427
31,Nebraska,8,Colorado,2024,2025,linear_regression,5713.675450135036
48,Texas,49,Utah,2024,2025,linear_regression,5574.196735701969
46,South Dakota,19,Iowa,2024,2025,linear_regression,5552.432357206947
39,Ohio,36,New York,2024,2025,linear_regression,5548.908550866109
13,Georgia,48,Texas,2024,2025,linear_regression,5421.8197659229745
47,Tennessee,5,Arkansas,2024,2025,linear_regression,5353.995004206402
25,Massachusetts,9,Connecticut,2024,2025,linear_regression,5334.673163607573
36,New York,39,Ohio,2024,2025,linear_regression,5239.374127881825
29,Missouri,5,Arkansas,2024,2025,linear_regression,5144.512158083515
39,Ohio,48,Texas,2024,2025,linear_regression,5130.582698322615
31,Nebraska,20,Kansas,2024,2025,linear_regression,5106.108413394627
42,Pennsylvania,10,Delaware,2024,2025,linear_regression,5087.689774557974
42,Pennsylvania,51,Virginia,2024,2025,linear_regression,5078.211005049106
54,West Virginia,39,Ohio,2024,2025,linear_regression,4952.345825878364
24,Maryland,10,Delaware,2024,2025,linear_regression,4865.104636887042
37,North Carolina,47,Tennessee,2024,2025,linear_regression,4857.756841084511
6,California,49,Utah,2024,2025,linear_regression,4850.204835074048
48,Texas,5,Arkansas,2024,2025,linear_regression,4800.971732402566
38,North Dakota,46,South Dakota,2024,2025,linear_regression,4764.913923026337
33,New Hampshire,25,Massachusetts,2024,2025,linear_regression,4756.361603582905
54,West Virginia,51,Virginia,2024,2025,linear_regression,4754.451040548688
19,Iowa,55,Wisconsin,2024,2025,linear_regression,4745.065420152475
6,California,41,Oregon,2024,2025,linear_regression,4729.300366199992
17,Illinois,6,California,2024,2025,linear_regression,4658.842359966923
12,Florida,1,Alabama,2024,2025,linear_regression,4652.141172400497
51,Virginia,54,West Virginia,2024,2025,linear_regression,4643.469289066264
16,Idaho,53,Washington,2024,2025,linear_regression,4632.248467217371
27,Minnesota,46,South Dakota,2024,2025,linear_regression,4496.919596644145
48,Texas,39,Ohio,2024,2025,linear_regression,4478.723624565612
18,Indiana,55,Wisconsin,2024,2025,linear_regression,4476.56012867934
17,Illinois,27,Minnesota,2024,2025,linear_regression,4467.312768510843
54,West Virginia,42,Pennsylvania,2024,2025,linear_regression,4408.252784797192
36,New York,25,Massachusetts,2024,2025,linear_regression,4378.779361445197
20,Kansas,48,Texas,2024,2025,linear_regression,4363.939791806962
42,Pennsylvania,54,West Virginia,2024,2025,linear_regression,4342.30345049805
11,Washington DC,11,Washington DC,2024,2025,linear_regression,4181.055299909599
47,Tennessee,45,South Carolina,2024,2025,linear_regression,4146.631964934296
16,Idaho,30,Montana,2024,2025,linear_regression,4116.272174132075
34,New Jersey,24,Maryland,2024,2025,linear_regression,4068.258860464065
49,Utah,6,California,2024,2025,linear_regression,4040.0232360979376
48,Texas,8,Colorado,2024,2025,linear_regression,4002.5764164983498
17,Illinois,21,Kentucky,2024,2025,linear_regression,3977.9015752964424
6,California,26,Michigan,2024,2025,linear_regression,3963.9266269830273
19,Iowa,29,Missouri,2024,2025,linear_regression,3956.1200166066033
