origin_state,origin_state_name,dest_state,dest_state_name,year,tons,value,tons_lag1,value_lag1,tons_growth,value_growth,distance_miles,cpi_pc1
1,Alabama,1,Alabama,2024,175170.50851400002,84385.400395,164634.974221,83445.518669,0.06399329390884761,0.011263417628551129,0.0,2.954306666666666
1,Alabama,2,Alaska,2024,0.0,0.0,0.005448,0.009535,-1.0,-1.0,3462.5456550800504,2.954306666666666
1,Alabama,4,Arizona,2024,233.850968,1034.2439,230.815157,1031.3677480000001,0.013152563460119716,0.002788677467932437,1451.8813535878703,2.954306666666666
1,Alabama,5,Arkansas,2024,669.303029,1407.729579,670.946399,1402.178822,-0.0024493312766106735,0.003958665551718036,352.5074578439604,2.954306666666666
1,Alabama,6,California,2024,814.715041,4223.671507,806.1013379999999,4244.321419,0.010685632927209086,-0.004865303534166638,1879.3578354804624,2.954306666666666
1,Alabama,8,Colorado,2024,154.409042,463.75356500000004,154.043572,466.35871799999995,0.0023725105517547187,-0.005586156963404116,1143.6484777710193,2.954306666666666
1,Alabama,9,Connecticut,2024,55.56974,198.196357,54.285957,194.878143,0.02364852847671083,0.01702712243106715,975.4994447315606,2.954306666666666
1,Alabama,10,Delaware,2024,43.112312,215.047696,41.913152000000004,211.589119,0.028610589821543343,0.016345722390384315,769.1784456691453,2.954306666666666
1,Alabama,11,Washington DC,2024,3.4302289999999998,64.636539,3.425594,64.561834,0.0013530500111805267,0.0011571077736111783,686.8734032936542,2.954306666666666
1,Alabama,12,Florida,2024,7680.92706,12580.337145,7489.594111,12638.644758,0.025546504411899717,-0.004613438712492758,465.50046014135427,2.954306666666666
1,Alabama,13,Georgia,2024,13378.882174,20267.942172,13217.856824,20647.838546,0.01218240991290071,-0.01839884466132632,180.36307605269135,2.954306666666666
1,Alabama,16,Idaho,2024,26.274219,95.381205,25.482295999999998,93.34159100000001,0.031077380154441368,0.021851073869096422,1680.8631266780685,2.954306666666666
1,Alabama,17,Illinois,2024,1127.642531,2148.998772,1116.888245,2129.023902,0.009628793254959779,0.00938217273241304,532.3453961761675,2.954306666666666
1,Alabama,18,Indiana,2024,982.088477,2089.864672,962.287521,2095.281815,0.02057696433538188,-0.0025854006660195584,484.4567812575574,2.954306666666666
1,Alabama,19,Iowa,2024,152.647545,457.89841,152.758232,457.13516,-0.0007245894283457303,0.001669637487521257,733.7976209480281,2.954306666666666
1,Alabama,20,Kansas,2024,246.619258,581.620693,243.56367,578.887277,0.01254533568163101,0.004721845009559469,760.1950775598312,2.954306666666666
1,Alabama,21,Kentucky,2024,1370.455852,3100.5069049999997,1325.6462080000001,3062.524783,0.033802113814065185,0.012402225187152026,352.1784086596925,2.954306666666666
1,Alabama,22,Louisiana,2024,2127.208001,2317.980474,2082.414283,2298.852686,0.021510473859922087,0.0083205801382959,321.19441580077694,2.954306666666666
1,Alabama,23,Maine,2024,17.55112,67.0426,17.494309,66.992777,0.0032473989112687856,0.0007437070417306226,1238.2572110694289,2.954306666666666
1,Alabama,24,Maryland,2024,221.618406,1088.492382,222.880075,1086.177715,-0.005660752761322482,0.002131020520891346,699.641470900923,2.954306666666666
1,Alabama,25,Massachusetts,2024,242.39879100000002,722.8982060000001,241.114817,723.3516089999999,0.005325155940126355,-0.0006268085870807354,1040.855160324553,2.954306666666666
1,Alabama,26,Michigan,2024,1051.069473,3009.170477,1025.871953,2975.804591,0.024562051751501522,0.01121239146579435,735.2187183778133,2.954306666666666
1,Alabama,27,Minnesota,2024,219.833527,707.940774,216.245842,699.018772,0.016590769870155436,0.012763608585893628,963.7734588819342,2.954306666666666
1,Alabama,28,Mississippi,2024,7565.841201,6240.69937,7755.037374,6170.105751,-0.024396552057158436,0.011441233237948796,168.65767933481283,2.954306666666666
1,Alabama,29,Missouri,2024,695.008387,1557.879899,682.860858,1541.382837,0.017789171626527704,0.010702767413777757,494.9454302479309,2.954306666666666
1,Alabama,30,Montana,2024,16.824494,42.679114,16.197869999999998,44.878911,0.03868558026456585,-0.049016274035704736,1579.7246331731342,2.954306666666666
1,Alabama,31,Nebraska,2024,862.66451,563.398832,852.142019,559.621524,0.012348283226718744,0.00674975467884246,854.2297716245987,2.954306666666666
1,Alabama,32,Nevada,2024,37.938941,158.998244,37.707331,160.80955699999998,0.006142306916392367,-0.01126371487983133,1736.9163922906948,2.954306666666666
1,Alabama,33,New Hampshire,2024,29.060595,126.252848,27.429734,125.523336,0.059455953892954244,0.005811763957579965,1101.0729242019177,2.954306666666666
1,Alabama,34,New Jersey,2024,296.319865,1216.349826,296.170173,1226.962922,0.0005054256425748042,-0.00864989137789124,847.5106726087191,2.954306666666666
1,Alabama,35,New Mexico,2024,39.706495000000004,98.735354,39.258971,101.463613,0.011399279925090277,-0.026889038536406094,1126.3051515223913,2.954306666666666
1,Alabama,36,New York,2024,424.578104,1426.591054,390.579318,1170.979071,0.08704707195991365,0.21828911321336503,910.3619360625368,2.954306666666666
1,Alabama,37,North Carolina,2024,1534.882139,2959.792582,1511.862923,2930.982558,0.015225729561727035,0.009829476440030007,439.0618030914563,2.954306666666666
1,Alabama,38,North Dakota,2024,55.983771,190.90037,59.772963,201.620573,-0.06339307623080355,-0.05317018417559997,1246.0102318128818,2.954306666666666
1,Alabama,39,Ohio,2024,1837.9714880000001,3252.929915,1704.747018,3202.191064,0.07814911455677355,0.015845041718597484,563.5937060888435,2.954306666666666
1,Alabama,40,Oklahoma,2024,437.664667,906.684469,427.42690600000003,889.430472,0.02395207427582946,0.0193989272272201,611.9935543490857,2.954306666666666
1,Alabama,41,Oregon,2024,149.73913100000001,225.940863,139.982295,218.49446700000001,0.06970050033827507,0.0340804785688234,2054.0590906890584,2.954306666666666
1,Alabama,42,Pennsylvania,2024,880.295946,2268.914749,858.959222,2252.9920859999997,0.02484020597662319,0.007067340848173883,747.6917351837873,2.954306666666666
1,Alabama,44,Rhode Island,2024,10.29453,26.830244,9.226518,25.198862,0.11575461078599743,0.06474030454232427,1031.6156485347633,2.954306666666666
1,Alabama,45,South Carolina,2024,1452.699891,2624.894951,1430.44399,2635.224223,0.015558736417215465,-0.003919693781594367,341.94670775324977,2.954306666666666
1,Alabama,46,South Dakota,2024,10.004059,48.110176,9.772484,47.572876,0.02369663639254865,0.011294250950899035,1042.4787809742186,2.954306666666666
1,Alabama,47,Tennessee,2024,7345.669022,8829.950664,7198.441952,8718.009666,0.020452630024903464,0.01284020117992836,200.4542098847677,2.954306666666666
1,Alabama,48,Texas,2024,3386.332105,9011.430643,3262.037925,8509.026022,0.03810322959381285,0.059043728353989945,645.2959234388255,2.954306666666666
1,Alabama,49,Utah,2024,114.848593,507.53891,113.18262899999999,500.884478,0.014719255195954165,0.013285362777802002,1477.2845669378462,2.954306666666666
1,Alabama,50,Vermont,2024,3.942891,81.69260700000001,3.895709,79.96825100000001,0.012111274225051162,0.021563007549083447,1080.3410515980297,2.954306666666666
1,Alabama,51,Virginia,2024,406.59735,1609.586552,401.84425799999997,1592.1775770000002,0.01182819439465535,0.010934066181739617,591.2619354313437,2.954306666666666
1,Alabama,53,Washington,2024,127.44956,494.120119,129.156445,492.01205100000004,-0.013215639374403544,0.004284586110676273,2068.9323073107994,2.954306666666666
1,Alabama,54,West Virginia,2024,100.501308,283.996316,97.082238,283.781877,0.03521828575892524,0.0007556472677780275,505.61164034591104,2.954306666666666
1,Alabama,55,Wisconsin,2024,647.53192,1132.320092,606.920718,1107.876562,0.066913520655263,0.022063405652226455,802.9825595222101,2.954306666666666
1,Alabama,56,Wyoming,2024,7.625608,22.664769,7.620013,22.466962,0.0007342507158451793,0.008804350138661425,1311.6702290183377,2.954306666666666
2,Alaska,1,Alabama,2024,0.176896,0.416378,0.245072,0.137948,-0.27818763465430574,2.018369240583409,3462.5456550800504,2.954306666666666
2,Alaska,2,Alaska,2024,15658.882664,10888.414678,15932.513451,10791.556236,-0.017174364097764228,0.008975391489587455,0.0,2.954306666666666
2,Alaska,4,Arizona,2024,0.028443,0.214178,0.050768,0.363109,-0.43974550898203596,-0.4101550774010008,2585.9030736552345,2.954306666666666
2,Alaska,5,Arkansas,2024,0.010859,0.19207300000000002,0.109852,0.554816,-0.9011488184102247,-0.6538077488753027,3158.856878203264,2.954306666666666
2,Alaska,6,California,2024,0.155698,1.545495,0.7014339999999999,4.795698,-0.7780290091441248,-0.6777330432400038,2248.7026590089845,2.954306666666666
2,Alaska,8,Colorado,2024,0.364816,0.024131,0.054222,0.031608000000000004,5.728191508981594,-0.23655403695267033,2494.5248078071845,2.954306666666666
2,Alaska,9,Connecticut,2024,0.000386,0.000874,0.0,0.0,0.0,0.0,3440.543562822915,2.954306666666666
2,Alaska,10,Delaware,2024,0.0,0.0,0.0,0.0,0.0,0.0,3470.1452960498,2.954306666666666
2,Alaska,12,Florida,2024,0.026741,0.17450700000000002,0.027478000000000002,0.433588,-0.02682145716573264,-0.5975280681199664,3924.5400285281166,2.954306666666666
2,Alaska,13,Georgia,2024,0.0,0.0,0.001659,0.016724000000000003,-1.0,-1.0,3554.0065811244126,2.954306666666666
2,Alaska,16,Idaho,2024,0.09671199999999999,0.317924,1.066223,2.078438,-0.9092947722943512,-0.8470370537875077,1935.795200052704,2.954306666666666
2,Alaska,17,Illinois,2024,0.000901,0.003188,0.0,0.0,0.0,0.0,2974.5505548524193,2.954306666666666
2,Alaska,18,Indiana,2024,0.0,0.0,0.0,0.0,0.0,0.0,3090.996000309306,2.954306666666666
2,Alaska,19,Iowa,2024,0.0025,0.011719,0.002159,0.020473,0.15794349235757302,-0.4275875543398623,2734.7804722550463,2.954306666666666
2,Alaska,21,Kentucky,2024,0.0,0.0,0.002717,0.002815,-1.0,-1.0,3263.9134562532854,2.954306666666666
2,Alaska,22,Louisiana,2024,0.0,0.0,0.0,0.0,0.0,0.0,3391.50474216547,2.954306666666666
2,Alaska,23,Maine,2024,0.27197099999999996,0.604133,0.025158,0.032514,9.810517529215357,17.58070369686904,3380.8325784221606,2.954306666666666
